Ranking,Link,Product Name,Manufacturer,Country of Origin,Item Weight,Price,Number of Customer Ratings,Number of Reviews,Average Rating (out of 5)
77,https://www.bigbasket.com/pd/20005346/sensodyne-fresh-mint-sensitive-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Fresh Mint, Sensitive For Daily Sensitivity Protection, 150 g  ",Sensodyne,India,150 g,Rs 189,3760,115,4.3
78,https://www.bigbasket.com/pd/40076909/kp-namboodiris-tooth-paste-herbal-gel-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"K.P. Namboodiris Tooth Paste - Herbal Gel, 150 g  ",K.P. Namboodiris,Origin not found,150 g,Rs 86,46,2,4.3
79,https://www.bigbasket.com/pd/40022608/dabur-meswak-indias-no-1-fluoride-free-toothpaste-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Meswak India's No-1 Fluoride Free Toothpaste, 100 g  ",Dabur Meswak,Origin not found,Item weight not found,Rs 55.80,1329,43,4.3
80,https://www.bigbasket.com/pd/1206431/pepsodent-germi-check-12h-germ-protection-toothpaste-save-rs-27--2x2x150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Germi Check+ 12h Germ Protection Toothpaste, Save Rs. 27/-, 2x(2x150 g) Multipack ",Pepsodent,Origin not found,2x(2x150 g),Rs 220,3075,63,4.3
81,https://www.bigbasket.com/pd/40029301/colgate-toothpaste-active-salt-neem-anticavity-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothpaste - Active Salt, Neem, Anticavity, 200 g  ",Colgate,Origin not found,200 g,Rs 91,331,2,4.2
82,https://www.bigbasket.com/pd/40100571/dabur-red-toothpaste-ayurvedic-gel-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Red Toothpaste - Ayurvedic Gel, 150 g  ",Dabur Red,India,Item weight not found,Rs 71.50,966,39,4.3
83,https://www.bigbasket.com/pd/263862/dabur-meswak-indias-no-1-fluoride-free-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Meswak India's No-1 Fluoride Free Toothpaste, 200 g  ",Dabur Meswak,Origin not found,200 g,Rs 95,3208,113,4.3
84,https://www.bigbasket.com/pd/282880/sensodyne-rapid-relief-sensitive-toothpaste-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Rapid Relief, Sensitive To Help Beat Sensitivity Fast, 80 g  ",Sensodyne,India,80 g,Rs 153,717,11,4.3
85,https://www.bigbasket.com/pd/40006890/colgate-active-salt-toothpaste-lemon-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Active Salt Toothpaste - Lemon, 200 g  ",Colgate,Origin not found,200 g,Rs 117,259,2,4.2
86,https://www.bigbasket.com/pd/268464/colgate-maxfresh-toothpaste-gel-anticavity-spicy-fresh-saver-pack-300-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate MaxFresh Toothpaste Gel - Anticavity, Spicy Fresh, Saver Pack, 300 g  ",Colgate,Origin not found,Item weight not found,Rs 140,1086,12,4.3
87,https://www.bigbasket.com/pd/311093/sensodyne-fresh-mint-toothpaste-for-sensitive-teeth-40-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Fresh Mint Toothpaste - For Sensitive Teeth, 40 g  ",Sensodyne,India,Item weight not found,Rs 80,306,9,4.3
88,https://www.bigbasket.com/pd/40118795/himalaya-stain-removal-toothpaste-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Himalaya Stain Removal Toothpaste, 80 g  ",Himalaya,Origin not found,Item weight not found,Rs 72,241,8,4.2
89,https://www.bigbasket.com/pd/267058/dabur-red-indias-no1-ayurvedic-fluroide-free-paste-300-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Red India's No.1 Ayurvedic Fluroide Free Paste, 300 g  ",Dabur Red,India,300 g,Rs 155.76,2291,66,4.4
90,https://www.bigbasket.com/pd/40076904/kp-namboodiris-tooth-paste-herbal-white-natural-salt-50-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"K.P. Namboodiris Tooth Paste - Herbal White Natural Salt, 50 g  ",K.P. Namboodiris,India,50 g,Rs 23,44,1,4.5
91,https://www.bigbasket.com/pd/40195549/colgate-swarna-vedshakti-ayurvedic-toothpaste-anti-bacterial-paste-with-neem-clove-and-honey-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Vedshakti Ayurvedic Toothpaste - Anti-Germ, With Neem, Clove, Amla, Tulsi & Honey, 200 g (Pack of 4) ",Colgate,India,200 g,Rs 319,147,1,4.2
92,https://www.bigbasket.com/pd/40107549/sensodyne-deep-clean-sensitive-toothpaste-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Deep Clean, Sensitive For Advanced Cleaning & Lasting Freshness, 70 g  ",Sensodyne,Origin not found,70 g,Rs 126,884,38,4.3
93,https://www.bigbasket.com/pd/40197031/dabur-herbl-clove-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Herb'l Clove Toothpaste, 200 g  ",Dabur,Origin not found,Item weight not found,Rs 85,465,17,4.2
94,https://www.bigbasket.com/pd/40071515/sensodyne-whitening-sensitive-toothpaste-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste - Whitening, Sensitive To Restore Natural Whiteness, 70 g  ",Sensodyne,Origin not found,Item weight not found,Rs 135,928,26,4.3
95,https://www.bigbasket.com/pd/305228/pepsodent-expert-protection-complete-toothpaste-140-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Expert Protection Complete Toothpaste, 140 g  ",Pepsodent,India,140 g,Rs 94.40,127,4,4.2
96,https://www.bigbasket.com/pd/40111790/colgate-active-salt-toothpaste-germ-fighting-toothpaste-for-healthy-gums-teeth-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Active Salt Toothpaste - Germ Fighting Toothpaste for Healthy Gums & Teeth, 500 g (Buy 2x200 g + 100 g ) ",Colgate,India,Item weight not found,Rs 188.30,196,2,4.3
97,https://www.bigbasket.com/pd/40000366/colgate-sensitive-plus-toothpaste-anticavity-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Sensitive Plus Toothpaste - Anticavity, 70 g  ",Colgate,Origin not found,70 g,Rs 121,549,8,4.2
98,https://www.bigbasket.com/pd/100007080/pepsodent-toothpaste-whitening-cavity-protection-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - Whitening, Cavity Protection, 150 g  ",Pepsodent,India,Item weight not found,Rs 80,497,16,4.2
99,https://www.bigbasket.com/pd/40223838/closeup-toothpaste-everfresh-triple-fresh-formula-cool-breeze-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Closeup Toothpaste - Everfresh, Triple Fresh Formula, Cool Breeze, 150 g (Pack of 2) ",Closeup,Origin not found,Item weight not found,Rs 133,84,,4.3
100,https://www.bigbasket.com/pd/40231115/colgate-kids-toothpaste-for-2-5-years-healthy-smiles-for-little-teeth-strawberry-flavour-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Toothpaste - For 2-5 Years, Healthy Smiles For Little Teeth, Strawberry Flavour, 80 g  ",Colgate,Origin not found,80 g,Rs 93,322,1,4.1
101,https://www.bigbasket.com/pd/295802/pepsodent-toothpaste-gum-care-expert-protection-140-gm-each/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - Gum Care, Expert Protection, 140 g each (Pack of 2) ",Pepsodent,India,Item weight not found,Rs 123.20,546,16,4.3
102,https://www.bigbasket.com/pd/40198111/dabur-dant-rakshak-paste-175-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dabur Dant Rakshak Paste, 175 g  ",Dabur,Origin not found,Item weight not found,Rs 70,429,17,4.1
103,https://www.bigbasket.com/pd/40179842/colgate-kids-toothpaste-3-5-years-natural-strawberry-flavour-0-artificial-80-g-tube/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kid's Toothpaste - 3-5 years, Natural Strawberry Flavour, 0% Artificial, 80 g Tube ",Colgate,Origin not found,Item weight not found,Rs 136.50,593,12,4.0
104,https://www.bigbasket.com/pd/40179843/colgate-kids-toothpaste-6-9-years-natural-strawberry-mint-flavour-0-artificial-80-g-tube/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Toothpaste - 6-9 Years, Natural Strawberry Mint Flavour, 0% Artificial, 80 g Tube ",Colgate,Origin not found,Item weight not found,Rs 123.20,387,6,4.1
105,https://www.bigbasket.com/pd/40125352/pepsodent-toothpaste-cavity-protection-germi-check-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Pepsodent Toothpaste - Cavity Protection, Germi Check, 500 g (Buy 2x200g & Get 100g Free) ",Pepsodent,India,Item weight not found,Rs 172,322,12,4.3
106,https://www.bigbasket.com/pd/40000335/colgate-active-salt-toothpaste-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Active Salt Toothpaste, 200 g  ",Colgate,Origin not found,Item weight not found,Rs 99,99,1,4.3
107,https://www.bigbasket.com/pd/20005546/colgate-active-salt-toothpaste-saver-pack-300-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Active Salt Toothpaste - Saver Pack, 300 g  ",Colgate,Origin not found,Item weight not found,Rs 139,1142,35,4.3
108,https://www.bigbasket.com/pd/40176352/colgate-kids-anticavity-motu-patlu-toothpaste-6-years-bubble-fruit-flavour-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids Anticavity Motu Patlu Toothpaste - 6+ years, Bubble Fruit Flavour, 80 g (Free Trading Cards Inside) ",Colgate,Origin not found,Item weight not found,Rs 103,211,7,4.1
109,https://www.bigbasket.com/pd/40170604/colgate-sensitive-everyday-protection-anticavity-toothpaste-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Sensitive Everyday Protection Anticavity Toothpaste., 80 g (Buy 1 Get 1 Free) ",Colgate,Origin not found,80 g,Rs 160,364,10,4.1
110,https://www.bigbasket.com/pd/281767/emoform-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Emoform Toothpaste, 150 g  ",Emoform,India,150 g,Rs 175,29,,4.3
111,https://www.bigbasket.com/pd/40208557/anchor-white-toothpaste-150-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Anchor White Toothpaste, 150 g  ",Anchor,Origin not found,Item weight not found,Rs 69,29,,Average rating not found
112,https://www.bigbasket.com/pd/1214088/clove-power-fresh-breath-fluoride-toothpaste-3x100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Clove Power - Fresh Breath Fluoride Toothpaste, 3x100 g (Multipack) ",Clove,Origin not found,3x100 g,Rs 144,190,5,3.9
113,https://www.bigbasket.com/pd/1214090/clove-sensitive-with-anti-sensitivity-fluoride-toothpaste-3x80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Clove Sensitive - With Anti-Sensitivity & Fluoride Toothpaste, 3x80 g (Multipack) ",Clove,Origin not found,3x80 g,Rs 288,55,2,4.0
114,https://www.bigbasket.com/pd/1214085/clove-power-fresh-breath-fluoride-toothpaste-100-g-sensitive-toothpaste-2x80-g-combo/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Clove Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 2x80 g, Combo (2 Items) ",Clove,Origin not found,Item weight not found,Rs 250.13,55,2,Average rating not found
115,https://www.bigbasket.com/pd/1214086/clove-power-fresh-breath-fluoride-toothpaste-100-g-sensitive-toothpaste-80-g-combo/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Clove Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g, Combo (2 Items) ",Clove,Origin not found,Item weight not found,Rs 164.42,55,2,Average rating not found
116,https://www.bigbasket.com/pd/40179841/colgate-kids-toothpaste-0-2-years-natural-fruit-flavour-fluoride-free-0-artificial-70-g-tube/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kid's Toothpaste - 0-2 years, Natural Fruit Flavour, Fluoride Free, 0% Artificial, 70 g Tube ",Colgate,Origin not found,Item weight not found,Rs 132,200,10,4.1
117,https://www.bigbasket.com/pd/40228315/sensodyne-sensitivity-gum-protection-toothpaste-for-strong-teeth-improves-oral-health-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Sensodyne Toothpaste Sensitivity & Gum - Dual Action For Sensitive Teeth, Healthy Gums, 70 g  ",Sensodyne,Origin not found,Item weight not found,Rs 166.50,115,2,4.3
118,https://www.bigbasket.com/pd/40199089/colgate-visible-white-instant-toothpaste-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Visible White Instant Toothpaste, 100 g  ",Colgate,Origin not found,Item weight not found,Rs 154,57,5,4.1
119,https://www.bigbasket.com/pd/40048266/dentoshine-gel-toothpaste-for-kids-mango-flavour-80-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Dentoshine   Gel Toothpaste For Kids - Mango Flavour, 80 g  ",Dentoshine  ,Origin not found,Item weight not found,Rs 89,12,,3.6
